seed,j_raw,j_disc,rel_error,time_raw,time_disc
3789,26.96989639,24.24028002,0.101209746,1.396674395,0.111444712
4581,23.89949968,21.53314634,0.099012673,1.438869953,0.032297611
1290,17.95550346,17.27666136,0.03780691,1.427154064,0.04800272
7300,18.91865366,17.25860401,0.087746711,1.427025318,0.112048388
8355,18.82943981,16.57105059,0.119939268,1.428525686,0.132697105
4651,20.62570112,18.98349723,0.0796193,1.676465988,0.210502386
9373,18.02234004,16.55808919,0.081246433,2.179908752,0.352226496
4176,18.84863005,16.5433332,0.122305804,2.246242046,0.183167458
5872,14.67382677,13.62054005,0.071779961,2.281743526,0.255946159
7980,19.15634415,17.50928913,0.085979611,2.052430391,0.143008709
,,,0.088664642,1.76,0.16
,,,0.122305804,,
